Ball #,BallName,IO Type,X,Y,Interface,Notes

TODO
EV6,XTAL_OUT,O,9931.8,22391.7,PCH Interfaces,
EV8,XTAL_IN,I,9300.6,22573.9,PCH Interfaces,
ET51,WAKE#,IOD,-7918.8,21680.9,PCH Interfaces,
AF30,VCCINAUX_SENSE,PWR_SENSE,488.9,-14251.9,Power,
DA3,VCCGT,PWR,11290,7556.2,Power,
CV1,VCCGT_SENSE,PWR_SENSE ,11940,6256.2,CPU Power,
CT12,RSVD_TP,N/A,7438.2,5786.2,Test Point ,
R9,VIDSOUT,I/O,8738.2,-18892.8,Legacy/Sidebend,
U9,VIDSCK,O,8738.2,-18041.8,Legacy/Sidebend,
W9,VIDALERT#,I,8738.2,-17190.8,Legacy/Sidebend,
ET21,VDDEN,O,4093.2,21680.9,PCH Display,
BJ11,RSVD_TP,N/A,8088.2,-5276.8,Test Point ,
DJ6,VCCST_PWRGD_SX,I,10038.2,10892.2,Legacy/Sidebend,
DJ8,VCCST_PWRGD,I,9388.2,10892.2,Legacy/Sidebend,
DK4,VCCST_OVERRIDE,O,10727,11131.2,PCH Power,
BJ12,RSVD_TP,N/A,7438.2,-5276.8,Test Point ,
FB45,RSVD,N/A,-5607.4,24058.1,N/A,
BL12,RSVD_TP,N/A,7438.2,-4425.8,Test Point,
EC38,VCCRTC,PWR,-2913.8,16480.9,PCH Power,
EE33,VCCPGPPR,PWR,-911.8,17130.9,PCH Power,
EB42,VCCDSW_3P3,PWR,-4567.4,16056.4,PCH Power,
FB52,VCCLDOSTD_0P85,PWR,-8248.4,24038.1,PCH Power,
AH30,VSSINAUX_SENSE,GND_SENSE,488.9,-13601.9,Power,
P1,VCCIN_AUX_FLTR,PWR,11940,-19093.8,Power,
EA14,RSVD_TP,N/A,6746.7,15575.7,Test Point,
CM44,RSVD_TP,N/A,-5102.8,3877.2,Test Point,
AR14,VCC1P05_PROC_OUT,PWR,6946.7,-10808.3,CPU Power,
AU14,VCC1P05_PROC_OUT,PWR,6946.7,-9957.3,Power,
EE41,VCCDSW_1P05,PWR,-3914.8,17130.9,PCH Power,
FB39,VCCDPHY_1P24,PWR,-3129.2,24058.1,PCH Power,
CV3,VCCGT_VSS_SENSE,GND_SENSE,11290,6256.2,Power,
CR14,RSVD_TP,N/A,6946.7,5360.7,Test Point,
EJ14,VCCA_CLKLDO_1P8,PWR,6746.7,18979.7,PCH Power,
EM14,VCCA_CLKLDO_1P8,PWR,6746.7,19830.7,PCH Power,
BF14,RSVD_TP,N/A,6946.7,-6553.3,Test Point,
CN43,RSVD_TP,N/A,-4678.6,4374.4,Test Point,
BA14,RSVD_TP,N/A,6946.7,-8255.3,Test Point,
BP44,RSVD_TP,N/A,-5179,-3225.1,Test Point,
E61,VCC1P8_PROC,PWR,-11940,-22680,CPU Power,
G61,VCC1P8_PROC,PWR,-11940,-22030,CPU Power,
H59,VCC1P8_PROC,PWR,-11376.8,-21705,CPU Power,
AH44,VCC1P8_PROC,PWR,-5179,-13780.5,CPU Power,
AJ45,VCC1P8_PROC,PWR,-5596.8,-13280.1,CPU Power,
AK44,VCC1P8_PROC,PWR,-5071,-12896.7,CPU Power,
AL45,VCC1P8_PROC,PWR,-5596.8,-12513.3,CPU Power,
AM41,VCC1P8_PROC,PWR,-4121.9,-11934,CPU Power,
AM44,VCC1P8_PROC,PWR,-5179,-12012.9,CPU Power,
AN43,VCC1P8_PROC,PWR,-4678.6,-11597.8,CPU Power,
AM15,VCC_DISPIO,PWR,6494.9,-11867.9,CPU Power,
V1,VCC_MIPILPÂ ,PWR,11940,-17793.8,CPU Power,
EB36,VCCPRIM1P05_OUT_PCH,PWR,-1912.8,15830.9,PCH Power,
EC36,VCCPRIM1P05_OUT_PCH,PWR,-1912.8,16480.9,PCH Power,
AT12,VCC1P05_PROC_OUT,PWR,7438.2,-10382.8,CPU Power,
EV3,VCC1P05_OUT_FET,PWR,11312,22511.8,PCH Interfaces,
EW1,VCC1P05_OUT_FET,PWR,11940,22680,PCH Interfaces,
EY1,VCC1P05_OUT_FET,PWR,11940,23330,PCH Interfaces,
EU1,VCC1P05_PROC,PWR,11940,22030,CPU Power,
EU4,VCC1P05_PROC,PWR,10987,21948.8,CPU Power,
BK14,RSVD_TP,N/A,6946.7,-4851.3,Test Point,
BN43,RSVD_TP,N/A,-4651.4,-3612,Test Point,
EF21,VCC_VNNEXT_1P05,PWR,4093.2,17780.9,PCH Power,
EH21,VCC_VNNEXT_1P05,PWR,4093.2,18430.9,PCH Power,
EE18,VCC_V1P05EXT_1P05,PWR,5094.2,17130.9,PCH Power,
EE21,VCC_V1P05EXT_1P05,PWR,4093.2,17130.9,PCH Power,
FC9,RSVD,N/A,8873.5,24440,N/A,
FC7,RSVD,N/A,9530,24440,N/A,
EC18,RSVD,N/A,5094.2,16480.9,N/A,
DL8,UFS_RESET#,I,9188.2,11746.2,PCH Interfaces,
AH32,THERMTRIP#,O,-512.1,-13601.9,Legacy/Sidebend,
CB11,RSVD_TP,N/A,8088.2,-170.8,Test Point,
CT3,VCCCORE_SENSE,PWR_SENSE ,11290,5606.2,CPU Power,
BW11,RSVD_TP,N/A,8088.2,-1021.8,Test Point,
CT1,VCCCORE_VSS_SENSE,GND_SENSE,11940,5606.2,Power,
EK18,RSVD_TP,N/A,5094.2,19080.9,Test Point,
EH18,RSVD_TP,N/A,5094.2,18430.9,Test Point,
AL3,VSS,GND,11290,-12593.8,Power,
AY11,RSVD_TP,N/A,8088.2,-8680.8,Test Point,
AT9,RSVD_TP,N/A,8738.2,-10382.8,Test Point,
AP11,RSVD_TP,N/A,8088.2,-11233.8,Test Point,
AT11,RSVD_TP,N/A,8088.2,-10382.8,Test Point,
AP12,RSVD_TP,N/A,7438.2,-11233.8,Test Point,
AY12,VSS,GND,7438.2,-8680.8,Power ,
EK26,SYS_RESET#,I,2091.2,19080.9,PCH Power,
EK23,SYS_PWROK,I,3092.2,19080.9,PCH Power,
FB56,SRTCRST#,I,-10011.8,23812,PCH Power,
EL53,SPIVCCIOSEL,I,-8919.8,19730.9,PCH Power,
EF56,SPI0_CS2#,O,-9866.1,17451.9,PCH Interfaces,
EF57,SPI0_MOSI,I/O,-10536.1,17442.8,PCH Interfaces,
EF59,SPI0_MISO,I/O,-11250.2,17426.6,PCH Interfaces,
EC59,SPI0_IO3,I/O,-11162.2,16218.2,PCH Interfaces,
EC61,SPI0_IO2,I/O,-11940,16216.8,PCH Interfaces,
EG58,SPI0_CS1#,O,-10810.4,18032.7,PCH Interfaces,
EF61,SPI0_CS0#,O,-11940,17563,PCH Interfaces,
EG56,SPI0_CLK,O,-10159.9,18032.7,PCH Interfaces,
EH41,RSVD,N/A,-3914.8,18430.9,N/A,
EF33,RSVD,N/A,-911.8,17780.9,N/A,
EE46,RSVD,N/A,-5916.8,17130.9,N/A,
DT42,RSVD,N/A,-4567.4,13503.4,N/A,
BG53,RSVD,N/A,-8852.6,-5905,N/A,
BG47,RSVD,N/A,-6559,-5905,N/A,
AL40,RSVD,N/A,-3512.1,-12301.9,N/A,
AL30,RSVD,N/A,488.9,-12301.9,N/A,
AK40,RSVD,N/A,-3512.1,-12951.9,N/A,
AK22,RSVD,N/A,3491.9,-12951.9,N/A,
AH20,RSVD,N/A,4492.9,-13601.9,N/A,
AF27,RSVD,N/A,1489.9,-14251.9,N/A,
FA53,SNDW_RCOMP,Analog,-8835.6,23752.2,PCH Interfaces,
FC53,SNDW_RCOMP,Analog,-8812,24440,PCH Interfaces,
EN53,SLP_SUS#,O,-8919.8,20380.9,PCH Interfaces,
EK53,SLP_LAN#,O,-8919.8,19080.9,PCH Interfaces,
AK35,SKTOCC#,N/A,-1513.1,-12951.9,CPU MISC,
FB4,RSVD_TP,N/A,10662,23812,Test Point,
FC4,RSVD_TP,N/A,10830,24440,Test Point,
FA55,RTCRST#,I,-9448.8,23487,PCH Interfaces,
EV58,RTCX2,O,-10661.9,22511.8,PCH Interfaces,
EV56,RTCX1,I,-9891.7,22431.8,PCH Interfaces,
EH53,RSMRST#,I,-8919.8,18430.9,PCH Interfaces,
AK32,PROCHOT#,I/O,-512.1,-12951.9,Legacy/Sidebend,
L6,PROC_PREQ#,I,10038.2,-20594.8,Legacy/Sidebend,
L8,PROC_PRDY#,O,9388.2,-20594.8,Legacy/Sidebend,
AF40,RSVD_TP,N/A,-3512.1,-14251.9,Test Point,
AH40,RSVD_TP,N/A,-3512.1,-13601.9,Test Point,
DG3,PECI,I/O,11290,10156.2,Legacy/Sidebend,
AN35,RSVD_TP,N/A,-1513.1,-11651.9,Test Point,
AL35,RSVD_TP,N/A,-1513.1,-12301.9,Test Point,
AL27,RSVD_TP,N/A,1489.9,-12301.9,Test Point,
AN27,RSVD_TP,N/A,1489.9,-11651.9,Test Point,
AN25,RSVD_TP,N/A,2490.9,-11651.9,Test Point,
AL25,RSVD_TP,N/A,2490.9,-12301.9,Test Point,
DY5,RSVD_TP,N/A,10516.6,15118,Test Point,
DY6,RSVD_TP,N/A,9866.6,15118,Test Point,
EH48,RSVD,N/A,-6917.8,18430.9,N/A,
EF53,RSVD,N/A,-8919.8,17780.9,N/A,
EF51,RSVD,N/A,-7918.8,17780.9,N/A,
EF48,RSVD,N/A,-6917.8,17780.9,N/A,
FB58,RSVD_TP,N/A,-10662,23812,Test Point,
EY61,RSVD_TP,N/A,-11940,23330,Test Point,
EH51,PCH_PWROK,N/A,-7918.8,18430.9,PCH Power,
DG1,PCH_OPIRCOMP,Analog,11940,10156.2,PCH Debug,
DV11,TP,N/A,7888.2,14299.2,PCH Debug,
DV10,TP,N/A,8538.2,14299.2,PCH Debug,
N8,PCH_JTAGX,I/O,9388.2,-19743.8,PCH Debug,
U6,PCH_JTAG_TMS,IOD,10038.2,-18041.8,PCH Debug,
AA8,PCH_JTAG_TDO,IOD,9388.2,-16339.8,PCH Debug,
W6,PCH_JTAG_TDI,I/O,10038.2,-17190.8,PCH Debug,
FB6,PCH_JTAG_TCK,I/O,10011.8,23811.9,PCH Debug,
FB3,RSVD,N/A,11312,23812,N/A,
FC6,RSVD,N/A,10180,24440,N/A,
R8,PCH_PROC_TRST#,O,9388.2,-18892.8,PCH Debug,
AH22,CFG[9],I/O,3491.9,-13601.9,CPU Debug,
AK17,CFG[8],I/O,5493.9,-12951.9,CPU Debug,
AJ15,CFG[7],I/O,6494.9,-13167.9,CPU Debug,
AH17,CFG[6],I/O,5493.9,-13601.9,CPU Debug,
AG15,CFG[5],I/O,6494.9,-13817.9,CPU Debug,
AD11,CFG[4],I/O,8032.9,-15226.9,CPU Debug,
AC12,CFG[3],I/O,7469.4,-15551.9,CPU Debug,
AA12,CFG[2],I/O,7469.4,-16201.9,CPU Debug,
AF37,CFG[15],I/O,-2514.1,-14251.9,CPU Debug,
AH35,CFG[14],I/O,-1513.1,-13601.9,CPU Debug,
AF35,CFG[13],I/O,-1513.1,-14251.9,CPU Debug,
AH37,CFG[12],I/O,-2514.1,-13601.9,CPU Debug,
AH25,CFG[11],I/O,2490.9,-13601.9,CPU Debug,
AF20,CFG[10],I/O,4492.9,-14251.9,CPU Debug,
AD16,CFG[1],I/O,6072.9,-15226.9,CPU Debug,
AA16,CFG[0],I/O,6072.9,-16526.9,CPU Debug,
F8,CFG_RCOMP,Analog,9261.8,-22417.9,CPU Debug,
AF22,CFG[17],I/O,3491.9,-14251.9,CPU Debug,
AF17,CFG[16],I/O,5493.9,-14251.9,CPU Debug,
DY1,MPHY_RCOMPP,Analog,11940,15229.1,PCH Interfaces,
DY3,MPHY_RCOMPN,Analog,11290,15229.1,PCH Interfaces,
EH26,CL_RST#,O,2091.2,18430.9,PCH Debug,
EF26,CL_DATA,I/O,2091.2,17780.9,PCH Interfaces,
EE26,CL_CLK,O,2091.2,17130.9,PCH Interfaces,
AF12,BPM#[3],I/O,7495.9,-14251.9,Legacy/Sidebend,
AH12,BPM#[2],I/O,7495.9,-13601.9,Legacy/Sidebend,
AK12,BPM#[1],I/O,7495.9,-12951.9,Legacy/Sidebend,
AL12,BPM#[0],I/O,7495.9,-12301.9,Legacy/Sidebend,
DY44,INTRUDER#,I ,-5217.4,15205.4,PCH Debug,
AK27,RSVD,N/A,1489.9,-12951.9,N/A,
AH27,RSVD,N/A,1489.9,-13601.9,N/A,
EL51,GPP_T3,I,-7918.8,19730.9,PCH GPIOs,
EN51,GPP_T2,I,-7918.8,20380.9,PCH GPIOs,
DR61,GPPC_RCOMP,Analog,-11940,13148.6,PCH GPIOs,
EN43,GPP_H9/I2C4_SCL/CNV_MFUART2_TXD,I,-4915.8,20380.9,PCH GPIOs,
EL43,GPP_H8/I2C4_SDA/CNV_MFUART2_RXD,I,-4915.8,19730.9,PCH GPIOs,
EH43,GPP_H7/I2C1_SCL,I,-4915.8,18430.9,PCH GPIOs,
EF43,GPP_H6/I2C1_SDA,I,-4915.8,17780.9,PCH GPIOs,
EH46,GPP_H5/I2C0_SCL,I,-5916.8,18430.9,PCH GPIOs,
EF46,GPP_H4/I2C0_SDA,I,-5916.8,17780.9,PCH GPIOs,
ET48,GPP_H3/SX_EXIT_HOLDOFF#,I,-6917.8,21680.9,PCH GPIOs,
ET43,GPP_H23/SRCCLKREQ5#,I/O or IOD,-4915.8,21680.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SRCCLKREQ"
ET41,GPP_H22/IMGCLKOUT3,I/O,-3914.8,21680.9,PCH GPIOs,
ER41,GPP_H21/IMGCLKOUT2,I/O,-3914.8,21030.9,PCH GPIOs,
EN41,GPP_H20/IMGCLKOUT1,I/O,-3914.8,20380.9,PCH GPIOs,
ET46,GPP_H2,I/O,-5916.8,21680.9,PCH GPIOs,
ER48,GPP_H19/SRCCLKREQ4#,I/O or IOD,-6917.8,21030.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SRCCLKREQ"
ER46,GPP_H18/PROC_C10_GATE#,O,-5916.8,21030.9,PCH GPIOs,
EL46,GPP_H17/DDPB_CTRLDATA,I/O,-5916.8,19730.9,PCH GPIOs,
EK46,GPP_H15/DDPB_CTRLCLK/PCIE_LINK_DOWN,I/O,-5916.8,19080.9,PCH GPIOs,
EL41,GPP_H13/I2C7_SCL/UART0_CTS#/M2_SKT2_CFG3/ISH_GP7B/DEVSLP1B,I,-3914.8,19730.9,PCH GPIOs,
EK41,GPP_H12/I2C7_SDA/UART0_RTS#/M2_SKT2_CFG2/ISH_GP6B/DEVSLP0B,I,-3914.8,19080.9,PCH GPIOs,
EN48,GPP_H11/UART0_TXD/M2_SKT2_CFG1,I,-6917.8,20380.9,PCH GPIOs,
EN46,GPP_H10/UART0_RXD/M2_SKT2_CFG0,O,-5916.8,20380.9,PCH GPIOs,
EL48,GPP_H1,I/O,-6917.8,19730.9,PCH GPIOs,
EK48,GPP_H0,I/O,-6917.8,19080.9,PCH GPIOs,
ET28,GPP_F9/BOOTMPC,O,1090.2,21680.9,PCH GPIOs,
EN28,GPP_F7,I/O,1090.2,20380.9,PCH GPIOs,
EH36,GPP_F6/CNV_PA_BLANKING,I,-1912.8,18430.9,PCH GPIOs,
EF36,GPP_F5/MODEM_CLKREQ/CRF_XTAL_CLKREQ,O,-1912.8,17780.9,PCH GPIOs,
ET31,GPP_F4/CNV_RF_RESET#,O,89.2,21680.9,PCH GPIOs,
ER31,GPP_F3/CNV_RGI_RSP/UART2_CTS#,I,89.2,21030.9,PCH GPIOs,
EL28,GPP_F23/V1P05_CTRL,O,1090.2,19730.9,PCH GPIOs,
EK31,GPP_F22/VNN_CTRL,O,89.2,19080.9,PCH GPIOs,
EH31,GPP_F21/RSVD,O,89.2,18430.9,PCH GPIOs,
EH28,GPP_F20/RSVD,O,1090.2,18430.9,PCH GPIOs,
EN31,GPP_F2/CNV_RGI_DT/UART2_TXD,O,89.2,20380.9,PCH GPIOs,
EF31,GPP_F19/SRCCLKREQ6#,I,89.2,17780.9,PCH GPIOs,
ET36,GPP_F18/THC1_SPI2_INT#,I,-1912.8,21680.9,PCH GPIOs,
ER33,GPP_F17/THC1_SPI2_RST#,I,-911.8,21030.9,PCH GPIOs,
EL33,GPP_F16/GSXCLK/THC1_SPI2_CS#/GSP1_CS0#,I,-911.8,19730.9,PCH GPIOs,
EN36,GPP_F15/GSXSRESET#/THC1_SPI2_IO3,I,-1912.8,20380.9,PCH GPIOs,
EL36,GPP_F14/GSXDIN/THC1_SPI2_IO2,I,-1912.8,19730.9,PCH GPIOs,
ET33,GPP_F13/GSXSLOAD/THC1_SPI2_IO1/GSPI1_MISIO/I2C1A_SDA,I,-911.8,21680.9,PCH GPIOs,
EL31,GPP_F12/GSXDOUT/THC1_SPI2_IO0/GSPI1_MOSI/I2C1A_SCL,I,89.2,19730.9,PCH GPIOs,
EN33,GPP_F11/THC1_SPI2_CLK/GSPI1_CLK,I,-911.8,20380.9,PCH GPIOs,
EF28,GPP_F10,I/O,1090.2,17780.9,PCH GPIOs,
EK33,GPP_F1/CNV_BRI_RSP/UART2_RXD,I,-911.8,19080.9,PCH GPIOs,
EH33,GPP_F0/CNV_BRI_DT/UART2_RTS#,O,-911.8,18430.9,PCH GPIOs,
FC25,GPP_E9/USB_OC0#/ISH_GP4,I,2584.8,24440,PCH GPIOs,
FA22,GPP_E8,I/O,3718.2,23662.2,PCH GPIOs,
FB23,GPP_E7/PROC_GP1,I,3104.6,23958.8,PCH GPIOs,
EH23,GPP_E6/THC0_SPI1_RST#,I,3092.2,18430.9,PCH GPIOs,
FA25,GPP_E5/DEVSLP1/SRCCLK_OE6#,I,2448.4,23750.2,PCH GPIOs,
FC22,GPP_E4/DEVSLP0/SRCCLK_OE9#,I,3716.9,24440,PCH GPIOs,
EY23,GPP_E3/PROC_GP0,I,3054.6,23310.4,PCH GPIOs,
ET23,GPP_E23/DDPA_CTRLDATA,I/O,3092.2,21680.9,PCH GPIOs,
ER23,GPP_E22/DDPA_CTRLCLK/DNX_FORCE_RELOAD,I/O,3092.2,21030.9,PCH GPIOs,
EN26,GPP_E21/DDP2_CTRLDATA/TBT_LSX1_RXD/BSSB_LS1_TX,I/O,2091.2,20380.9,PCH GPIOs,
EL26,GPP_E20/DDP2_CTRLCLK/TBT_LSX1_TXD/BSSB_LS1_RX,I/O,2091.2,19730.9,PCH GPIOs,
EF23,GPP_E2/THC0_SPI1_IO3,I,3092.2,17780.9,PCH GPIOs,
ET26,GPP_E19/DDP1_CTRLDATA/TBT_LSX0_RXD/BSSB_LS0_TX,I,2091.2,21680.9,PCH GPIOs,
ER26,GPP_E18/DDP1_CTRLCLK/TBT_LSX0_TXD/BSSB_LS0_RX,I,2091.2,21030.9,PCH GPIOs,
EY25,GPP_E17/THC0_SPI1_INT#,I,2464.6,23036.5,PCH GPIOs,
EY22,GPP_E16/SRCCLKREQ8#,I,3635,23017.5,PCH GPIOs,
EW23,GPP_E15/SRCCLK_OE8#,I,3054.6,22660.4,PCH GPIOs,
EV25,GPP_E14/DDSP_HPDA/DISP_MISC_A,O,2453.8,22366.5,PCH GPIOs,
EN23,GPP_E13/THC0_SPI1_IO0/I2C0A_SCL/GSPI0_MOSI,I/O,3092.2,20380.9,PCH GPIOs,
EL23,GPP_E12/THC0_SPI1_IO1/I2C0A_SDA/GSPI0_MISO,I/O,3092.2,19730.9,PCH GPIOs,
FC28,GPP_E11/THC0_SPI1_CLK/GSPI0_CLK,O,1238.7,24440,PCH GPIOs,
FA28,GPP_E10/THC0_SPI1_CS#/GSPI0_CS0#,O,1240,23662.2,PCH GPIOs,
EE23,GPP_E1/THC0_SPI1_IO2,I,3092.2,17130.9,PCH GPIOs,
EV22,GPP_E0/SATAXPCIE0/SATAGP0/SRCCLKREQ9#,I,3637.8,22366.5,PCH GPIOs,
FC37,GPP_D9/ISH_SPI_CS#/DDP3_CTRLCLK/TBT_LSX2_TXD/BSSB_LS2_RX/GSPI2_CS0#,I,-2371.6,24440,PCH GPIOs,
FC34,GPP_D8/SRCCLKREQ3#,I,-1239.5,24440,PCH GPIOs,
FC31,GPP_D7/SRCCLKREQ2#,I,106.6,24440,PCH GPIOs,
FB36,GPP_D6/SRCCLKREQ1#,I,-1851.8,23958.8,PCH GPIOs,
FB29,GPP_D5/SRCCLKREQ0#,I,626.4,23958.8,PCH GPIOs,
FA31,GPP_D4/IMGCLKOUT0/BK4/SBK4,I,-29.8,23750.2,PCH GPIOs,
FA34,GPP_D3/ISH_GP3/BK3/SBK3,O,-1238.2,23662.2,PCH GPIOs,
EY30,GPP_D2/ISH_GP2/BK2/SBK2,O,576.4,23310.4,PCH GPIOs,
EY34,GPP_D19/I2S_MCLK1_OUT,I,-1321.4,23017.5,PCH GPIOs,
EW30,GPP_D18/UART1_TXD/ISH_UART1_TXD,I,576.4,22660.4,PCH GPIOs,
EV34,GPP_D17/UART1_RXD/ISH_UART1_RXD,I,-1318.6,22366.5,PCH GPIOs,
EY36,GPP_D16/ISH_UART0_CTS#/I2C7B_SCL,I,-1901.8,23310.4,PCH GPIOs,
EW36,GPP_D15/ISH_UART0_RTS#/I2C7B_SDA,I,-1901.8,22660.4,PCH GPIOs,
EY28,GPP_D14/ISH_UART0_TXD/I2C6_SCL,I,1156.8,23017.5,PCH GPIOs,
EV28,GPP_D13/ISH_UART0_RXD/I2C6_SDA,I,1159.6,22366.5,PCH GPIOs,
FA37,GPP_D12/ISH_SPI_MOSI/DDP4_CTRLDATA/TBT_LSX3_RXD/BSSB_LS3_TX/GSPI2_MOSI,I,-2508,23750.2,PCH GPIOs,
EY37,GPP_D11/ISH_SPI_MISO/DDP4_CTRLCLK/TBT_LSX3_TXD/BSSB_LS3_RX/GSPI2_MISO,I,-2491.8,23036.5,PCH GPIOs,
EV37,GPP_D10/ISH_SPI_CLK/DDP3_CTRLDATA/TBT_LSX2_RXD/BSSB_LS2_TX/GSPI2_CLK,I,-2502.6,22366.5,PCH GPIOs,
EY31,GPP_D1/ISH_GP1/BK1/SBK1,I/O,-13.6,23036.5,PCH GPIOs,
EV31,GPP_D0/ISH_GP0/BK0/SBK0,I/O,-24.4,22366.5,PCH GPIOs,
ER38,GPP_C7/SML1DATA,O,-2913.8,21030.9,PCH GPIOs,
ET38,GPP_C6/SML1CLK,I,-2913.8,21680.9,PCH GPIOs,
EH38,GPP_C5/SML0ALERT#,O,-2913.8,18430.9,PCH GPIOs,
EF38,GPP_C4/SML0DATA,I/O or IOD,-2913.8,17780.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SML0"
EE38,GPP_C3/SML0CLK,I/O or IOD,-2913.8,17130.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SML0"
EN38,GPP_C2/SMBALERT#,I/O or IOD,-2913.8,20380.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SMB"
EK38,GPP_C1/SMBDATA,I/O or IOD,-2913.8,19080.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SMB"
EL38,GPP_C0/SMBCLK,I/O or IOD,-2913.8,19730.9,PCH GPIOs,"IO Type: I/O for GPP, IOD for SMB"
DR56,GPP_B8/ISH_I2C1_SCL/I2C3_SCL,I,-9943.1,13032.7,PCH GPIOs,
