Ball #,BallName,IO Type,X,Y,Interface,Notes
DR58,GPP_B7/ISH_I2C1_SDA/I2C3_SDA,I,-10890.4,13076.3,PCH GPIOs,
DT57,GPP_B6/ISH_I2C0_SCL/I2C2_SCL,I,-10517.1,13656.8,PCH GPIOs,
DT56,GPP_B5/ISH_I2C0_SDA/I2C2_SDA,I,-9866.1,13679.6,PCH GPIOs,
EB56,GPP_B4/PROC_GP3/ISH_GP5B,I,-9866.1,16157.8,PCH GPIOs,
EB57,GPP_B3/PROC_GP2/ISH_GP4B,I,-10517.1,16135,PCH GPIOs,
EF41,GPP_B23/SML1ALERT#/PCHHOT#,O,-3914.8,17780.9,PCH GPIOs,
DT59,GPP_B2/VRALERT#,I,-11162.2,13740,PCH GPIOs,
DT61,GPP_B18,I,-11940,13798.6,PCH GPIOs,
DN60,GPP_B17/I2C5_SCL/ISH_I2C2_SCL,I,-11424.8,12584.7,PCH GPIOs,
DN57,GPP_B16/I2C5_SDA/ISH_I2C2_SDA,I,-10421.2,12588.5,PCH GPIOs,
DY61,GPP_B15/TIME_SYNC0/ISH_GP7,I,-11940,15084.8,PCH GPIOs,
DW56,GPP_B14/SPKR/TIME_SYNC1/SATA_LED#/ISH_GP6,I,-9866.1,14973.7,PCH GPIOs,
DW57,GPP_B13/PLTRST#,O,-10536.1,14964.6,PCH GPIOs,
DW59,GPP_B12/SLP_S0#,O,-11250.2,14948.4,PCH GPIOs,
EA56,GPP_B11/PMCALERT#,I/O or IOD,-10159.9,15554.5,PCH GPIOs,"IO Type: I/O for GPP, IOD for PMC"
EA58,GPP_B1/CORE_VID1,O,-10810.4,15554.5,PCH GPIOs,
EA60,GPP_B0/CORE_VID0,O,-11458.8,15604.5,PCH GPIOs,
DT49,GPP_A9/ESPI_CLK,O,-7167.4,13503.4,PCH GPIOs,
EB54,GPP_A8/SRCCLKREQ7#,I,-9117.4,16056.4,PCH GPIOs,
EB52,GPP_A7/SRCCLK_OE7#,I,-8467.4,16056.4,PCH GPIOs,
DP54,GPP_A6/ESPI_ALERT1#,O,-9117.4,12652.4,PCH GPIOs,
DP47,GPP_A5/ESPI_ALERT0#,O,-6517.4,12652.4,PCH GPIOs,
DP44,GPP_A4/ESPI_CS0#,O,-5217.4,12652.4,PCH GPIOs,
DP52,GPP_A3/ESPI_IO3/SUSACK#,I/O,-8467.4,12652.4,PCH GPIOs,
DT46,GPP_A23/ESPI_CS1#,O,-5867.4,13503.4,PCH GPIOs,
DV52,GPP_A22/DDPC_CTRLDATA,O,-8467.4,14354.4,PCH GPIOs,
DV54,GPP_A21/DDPC_CTRLCLK,I,-9117.4,14354.4,PCH GPIOs,
EB51,GPP_A20/DDSP_HPD2/DISP_MISC2,I,-7817.4,16056.4,PCH GPIOs,
DT54,GPP_A2/ESPI_IO2/SUSWARN#/SUSPWRDNACK,I/O,-9117.4,13503.4,PCH GPIOs,
EB49,GPP_A19/DDSP_HPD1/DISP_MISC1,I,-7167.4,16056.4,PCH GPIOs,
EB47,GPP_A18/DDSP_HPDB/DISP_MISCB,I,-6517.4,16056.4,PCH GPIOs,
DY54,GPP_A17/DISP_MISCC,I,-9117.4,15205.4,PCH GPIOs,
DY51,GPP_A16/USB_OC3#/ISH_GP5,I,-7817.4,15205.4,PCH GPIOs,
DY49,GPP_A15/USB_OC2#/DDSP_HPD4/DISP_MISC4,I,-7167.4,15205.4,PCH GPIOs,
DY47,GPP_A14/USB_OC1#/DDSP_HPD3/DISP_MISC3,I,-6517.4,15205.4,PCH GPIOs,
DV47,GPP_A13,I/O,-6517.4,14354.4,PCH GPIOs,
DY46,GPP_A12/SATAXPCIE1/SATAGP1/SRCCLKREQ9B#,I,-5867.4,15205.4,PCH GPIOs,
DV51,GPP_A11,I/O,-7817.4,14354.4,PCH GPIOs,
DT51,GPP_A10/ESPI_RESET#,O,-7817.4,13503.4,PCH GPIOs,
DT44,GPP_A1/ESPI_IO1,I/O,-5217.4,13503.4,PCH GPIOs,
DP51,GPP_A0/ESPI_IO0,I/O,-7817.4,12652.4,PCH GPIOs,
EY48,GPP_S7/SNDW3_DATA/DMIC_DATA1,O,-6920,23310.4,PCH GPIOs,
EW48,GPP_S6/SNDW3_CLK/DMIC_CLK_A1,I,-6920,22660.4,PCH GPIOs,
EY50,GPP_S5/SNDW2_DATA/DMIC_CLK_B1,O,-7561,23036.5,PCH GPIOs,
EV50,GPP_S4/SNDW2_CLK/DMIC_CLK_B0,I,-7571.8,22366.5,PCH GPIOs,
FC50,GPP_S3/SNDW1_DATA/DMIC_DATA0/I2S1_RXD,I,-7440.8,24440,PCH GPIOs,
FA50,GPP_S2/SNDW1_CLK/DMIC_CKL_A0/I2S1_TXD,I,-7577.2,23750.2,PCH GPIOs,
EY53,GPP_S1/SNDW0_DATA/I2S1_SFRM,O,-8835.8,23017.5,PCH GPIOs,
EV53,GPP_S0/SNDW0_CLK/I2S1_SCLK,I,-8916,22366.5,PCH GPIOs,
EB46,GPP_R7/I2S2_RXD/DMIC_DATA1,I,-5867.4,16056.4,PCH GPIOs,
EB44,GPP_R6/I2S2_TXD/DMIC_CLK_A1,I/O,-5217.4,16056.4,PCH GPIOs,
ET53,GPP_R5/HDA_SDI1/I2S2_SFRM/DMIC_DATA0,I,-8919.8,21680.9,PCH GPIOs,
ER53,GPP_R4/HDA_RST#/I2S2_SCLK/DMIC_CLK_A0,I/O,-8919.8,21030.9,PCH GPIOs,
ER59,GPP_R3/HDA_SDI0/I2S0_RXD/HDAPROC_SDI,I/O,-11290,21331.4,PCH GPIOs,
ER57,GPP_R2/HDA_SDO/I2S0_TXD/HDAPROC_SDO,I/O,-10516.9,21211.7,PCH GPIOs,
EP60,GPP_R1/HDA_SYNC/I2S0_SFRM/DMIC_CLK_B1,I/O,-11468.8,20696.9,PCH GPIOs,
ER56,GPP_R0/HDA_BCLK/I2S0_SCLK/DMIC_CLK_B0/HDAPROC_BCLK,I/O,-9843.1,21199.5,PCH GPIOs,
EJ57,GPD9/SLP_WLAN#,O,-10517.1,18638.2,PCH GPIOs,
EJ61,GPD8/SUSCLK,O,-11940,18745,PCH GPIOs,
EK60,GPD7,O,-11538.2,19308.5,PCH GPIOs,
EM57,GPD6/SLP_A#,O,-10536.1,19996,PCH GPIOs,
EP56,GPD5/SLP_S4#,O,-10169.9,20636.9,PCH GPIOs,
EM59,GPD4/SLP_S3#,O,-11250.2,19979.8,PCH GPIOs,
EM61,GPD3/PWRBTN#,I,-11940,20116.2,PCH GPIOs,
EP58,GPD2/LAN_WAKE#,I,-10820.4,20636.9,PCH GPIOs,
EJ56,GPD11/LANPHYPC,O,-9866.1,18661,PCH GPIOs,
EG60,GPD10/SLP_S5#,O,-11458.8,18082.7,PCH GPIOs,
EJ59,GPD1/ACPRESENT,I,-11162.2,18721.4,PCH GPIOs,
EM56,GPD0/BATLOW#,I,-9866.1,20005.1,PCH GPIOs,
DV46,VSS,GND,-5867.4,14354.4,PCH Debug,
DV42,TP,N/A,-4567.4,14354.4,PCH Debug,
DT47,TP,N/A,-6517.4,13503.4,PCH Debug,
DJ9,RSVD_TP,N/A,8738.2,10892.2,Test Point,
AA9,RSVD_TP,N/A,8738.2,-16339.8,Test Point,
DW32,RSVD_TP,N/A,-411.3,14765.9,Test Point,
DW37,RSVD_TP,N/A,-2413.3,14765.9,Test Point,
AL37,RSVD_TP,N/A,-2514.1,-12301.9,Test Point,
BH14,RSVD_TP,N/A,6946.7,-5702.3,Test Point,
BF43,RSVD_TP,N/A,-4678.6,-6402.2,Test Point,
AV12,VCC_CFG_PU_OUT,O,7438.2,-9531.8,CPU Power,
DJ12,RSVD_TP,N/A,7438.2,10892.2,Test Point,
DH14,RSVD_TP,N/A,6946.7,10466.7,Test Point,
CH43,RSVD_TP,N/A,-4651.4,2578,Test Point,
EB16,RSVD_TP,N/A,6095.2,15830.9,Test Point,
DY18,RSVD_TP,N/A,5094.2,15180.9,Test Point,
DJ11,RSVD_TP,N/A,8088.2,10892.2,Test Point,
AF25,EAR#,I,2490.9,-14251.9,CPU Debug,
EE48,DSW_PWROK,I,-6917.8,17130.9,PCH Power,
EE53,DRAM_RESET#,O,-8919.8,17119.9,DDR Interface,
AC9,RSVD_TP,N/A,8738.2,-15488.8,Test Point,
R4,RSVD,N/A,10727,-18768.8,N/A,
ET14,DBG_PMODE,O,6746.7,21532.7,CPU Debug,
BG11,PROCPWRGD,I,8088.2,-6127.8,Sideband ,
DV60,PROC_POPIRCOMP,Analog,-11558.2,14327.1,CPU MISC,
DH43,RSVD_TP,N/A,-4651.4,10372.1,Test Point,
DG44,RSVD_TP,N/A,-5179,9985.1,Test Point,
R6,PROC_JTAG_TRST#,I,10038.2,-18892.8,CPU Debug,
U8,PROC_JTAG_TMS,I/O,9388.2,-18041.8,CPU Debug,
AA6,PROC_JTAG_TDO,O,10038.2,-16339.8,CPU Debug,
W8,PROC_JTAG_TDI,I,9388.2,-17190.8,CPU Debug,
N6,PROC_JTAG_TCK,I,10038.2,-19743.8,CPU Debug,
BB11,VSS,GND,8088.2,-7829.8,GND,Please See Note Tab
BE11,VSS,GND,8088.2,-6978.8,GND,Please See Note Tab
EU61,RSVD,N/A,-11940,22030,N/A,
FC40,CNV_WT_RCOMP,Analog,-3717.7,24440,PCH Interfaces,
FC46,CNV_WT_D1P,O,-6196,24440,PCH Interfaces,
FA46,CNV_WT_D1N,O,-6194.6,23662.2,PCH Interfaces,
EV43,CNV_WT_D0P,O,-4980.8,22366.5,PCH Interfaces,
EY43,CNV_WT_D0N,O,-4970,23036.5,PCH Interfaces,
EV47,CNV_WT_CLKP,O,-6275,22366.5,PCH Interfaces,
EY47,CNV_WT_CLKN,O,-6277.8,23017.5,PCH Interfaces,
EV40,CNV_WR_D1P,I,-3796.8,22366.5,PCH Interfaces,
EY40,CNV_WR_D1N,I,-3799.6,23017.5,PCH Interfaces,
EW42,CNV_WR_D0P,I,-4380,22660.4,PCH Interfaces,
EY42,CNV_WR_D0N,I,-4380,23310.4,PCH Interfaces,
FA43,CNV_WR_CLKP,I,-4986.2,23750.2,PCH Interfaces,
FC43,CNV_WR_CLKN,I,-4849.8,24440,PCH Interfaces,
DP1,CLKOUT_PCIE_P6,O,11940,12758.9,PCH GPIOs,
DU5,CLKOUT_PCIE_P5,O,10516.6,13808.9,PCH GPIOs,
DP5,CLKOUT_PCIE_P4,O,10516.6,12647.8,PCH GPIOs,
DN10,CLKOUT_PCIE_P3,O,8538.2,12597.2,PCH GPIOs,
DR4,CLKOUT_PCIE_P2,O,10810.4,13228.6,PCH GPIOs,
DU1,CLKOUT_PCIE_P1,O,11940,13890.9,PCH GPIOs,
DT10,CLKOUT_PCIE_P0,O,8538.2,13448.2,PCH GPIOs,
DP3,CLKOUT_PCIE_N6,O,11290,12758.9,PCH GPIOs,
DU6,CLKOUT_PCIE_N5,O,9866.6,13808.9,PCH GPIOs,
DP6,CLKOUT_PCIE_N4/UFS_REF_CLK,O,9866.6,12647.8,PCH GPIOs,
DN11,CLKOUT_PCIE_N3,O,7888.2,12597.2,PCH GPIOs,
DR6,CLKOUT_PCIE_N2,O,10160.4,13228.6,PCH GPIOs,
DU3,CLKOUT_PCIE_N1,O,11290,13890.9,PCH GPIOs,
DT11,CLKOUT_PCIE_N0,O,7888.2,13448.2,PCH GPIOs,
DJ3,XCLK_BIASREF,I/O,11290,10806.2,PCH GPIOs,
DL1,RSVD,N/A,11940,11456.2,N/A,
DL3,RSVD,N/A,11290,11456.2,N/A,
AF15,CATERR#,O,6494.9,-14467.9,Legacy/Sidebend,
EN21,eDP_BKLTEN,O,4093.2,20380.9,PCH Display,
EL21,eDP_BKLTCTL,O,4093.2,19730.9,PCH Display,
,DQ/DQSBallName,,,,,
,DDR4(IL)/DDR4(NIL)/DDR5(NIL)/LP4x-LP5(NIL),,,,,
N51,DDR1_DQSP[7]/DDR1_DQSP[7]/DDR3_DQSP[3]/DDR7_DQSP[1],I/O,-7986.6,-19756.1,DDR Interface,
N61,DDR1_DQSP[6]/DDR1_DQSP[6]/DDR3_DQSP[2]/DDR7_DQSP[0],I/O,-11940,-19756.1,DDR Interface,
AU51,DDR1_DQSP[5]/DDR1_DQSP[3]/DDR2_DQSP[3]/DDR5_DQSP[1],I/O,-7986.6,-9973.9,DDR Interface,
BD51,DDR1_DQSP[4]/DDR1_DQSP[2]/DDR2_DQSP[2]/DDR5_DQSP[0],I/O,-7986.6,-7376.1,DDR Interface,
BN51,DDR1_DQSP[3]/DDR0_DQSP[7]/DDR1_DQSP[3]/DDR3_DQSP[1],I/O,-7986.6,-3783.9,DDR Interface,
BW51,DDR1_DQSP[2]/DDR0_DQSP[6]/DDR1_DQSP[2]/DDR3_DQSP[0],I/O,-7986.6,-1186.1,DDR Interface,
DC51,DDR1_DQSP[1]/DDR0_DQSP[3]/DDR0_DQSP[3]/DDR1_DQSP[1],I/O,-7986.6,8596.1,DDR Interface,
DK51,DDR1_DQSP[0]/DDR0_DQSP[2]/DDR0_DQSP[2]/DDR1_DQSP[0],I/O,-7986.6,11193.9,DDR Interface,
A43,DDR0_DQSP[7]/DDR1_DQSP[5]/DDR3_DQSP[1]/DDR6_DQSP[1],I/O,-4643.2,-24440,DDR Interface,
A49,DDR0_DQSP[6]/DDR1_DQSP[4]/DDR3_DQSP[0]/DDR6_DQSP[0],I/O,-7241,-24440,DDR Interface,
AR61,DDR0_DQSP[5]/DDR1_DQSP[1]/DDR2_DQSP[1]/DDR4_DQSP[1],I/O,-11940,-10623.9,DDR Interface,
BB61,DDR0_DQSP[4]/DDR1_DQSP[0]/DDR2_DQSP[0]/DDR4_DQSP[0],I/O,-11940,-8026.1,DDR Interface,
BL61,DDR0_DQSP[3]/DDR0_DQSP[5]/DDR1_DQSP[1]/DDR2_DQSP[1],I/O,-11940,-4433.9,DDR Interface,
BU61,DDR0_DQSP[2]/DDR0_DQSP[4]/DDR1_DQSP[0]/DDR2_DQSP[0],I/O,-11940,-1836.1,DDR Interface,
DB61,DDR0_DQSP[1]/DDR0_DQSP[1]/DDR0_DQSP[1]/DDR0_DQSP[1],I/O,-11940,7946.1,DDR Interface,
DH61,DDR0_DQSP[0]/DDR0_DQSP[0]/DDR0_DQSP[0]/DDR0_DQSP[0],I/O,-11940,10543.9,DDR Interface,
L51,DDR1_DQSN[7]/DDR1_DQSN[7]/DDR3_DQSN[3]/DDR7_DQSN[1],I/O,-7986.6,-20406.1,DDR Interface,
L61,DDR1_DQSN[6]/DDR1_DQSN[6]/DDR3_DQSN[2]/DDR7_DQSN[0],I/O,-11940,-20406.1,DDR Interface,
AR51,DDR1_DQSN[5]/DDR1_DQSN[3]/DDR2_DQSN[3]/DDR5_DQSN[1],I/O,-7986.6,-10623.9,DDR Interface,
BB51,DDR1_DQSN[4]/DDR1_DQSN[2]/DDR2_DQSN[2]/DDR5_DQSN[0],I/O,-7986.6,-8026.1,DDR Interface,
BL51,DDR1_DQSN[3]/DDR0_DQSN[7]/DDR1_DQSN[3]/DDR3_DQSN[1],I/O,-7986.6,-4433.9,DDR Interface,
BU51,DDR1_DQSN[2]/DDR0_DQSN[6]/DDR1_DQSN[2]/DDR3_DQSN[0],I/O,-7986.6,-1836.1,DDR Interface,
DB51,DDR1_DQSN[1]/DDR0_DQSN[3]/DDR0_DQSN[3]/DDR1_DQSN[1],I/O,-7986.6,7946.1,DDR Interface,
DH51,DDR1_DQSN[0]/DDR0_DQSN[2]/DDR0_DQSN[2]/DDR1_DQSN[0],I/O,-7986.6,10543.9,DDR Interface,
A44,DDR0_DQSN[7]/DDR1_DQSN[5]/DDR3_DQSN[1]/DDR6_DQSN[1],I/O,-5293.2,-24440,DDR Interface,
A51,DDR0_DQSN[6]/DDR1_DQSN[4]/DDR3_DQSN[0]/DDR6_DQSN[0],I/O,-7891,-24440,DDR Interface,
AU61,DDR0_DQSN[5]/DDR1_DQSN[1]/DDR2_DQSN[1]/DDR4_DQSN[1],I/O,-11940,-9973.9,DDR Interface,
BD61,DDR0_DQSN[4]/DDR1_DQSN[0]/DDR2_DQSN[0]/DDR4_DQSN[0],I/O,-11940,-7376.1,DDR Interface,
BN61,DDR0_DQSN[3]/DDR0_DQSN[5]/DDR1_DQSN[1]/DDR2_DQSN[1],I/O,-11940,-3783.9,DDR Interface,
BW61,DDR0_DQSN[2]/DDR0_DQSN[4]/DDR1_DQSN[0]/DDR2_DQSN[0],I/O,-11940,-1186.1,DDR Interface,
DC61,DDR0_DQSN[1]/DDR0_DQSN[1]/DDR0_DQSN[1]/DDR0_DQSN[1],I/O,-11940,8596.1,DDR Interface,
DK61,DDR0_DQSN[0]/DDR0_DQSN[0]/DDR0_DQSN[0]/DDR0_DQSN[0],I/O,-11940,11193.9,DDR Interface,
K50,DDR1_DQ[7][7]/DDR1_DQ[7][7]/DDR3_DQ[3][7]/DDR7_DQ[1][7],I/O,-7496,-20979.8,DDR Interface,
F58,DDR1_DQ[7][6]/DDR1_DQ[7][6]/DDR3_DQ[3][6]/DDR7_DQ[1][6],I/O,-10661.8,-22511.8,DDR Interface,
F54,DDR1_DQ[7][5]/DDR1_DQ[7][5]/DDR3_DQ[3][5]/DDR7_DQ[1][5],I/O,-9281.8,-22391.7,DDR Interface,
L48,DDR1_DQ[7][4]/DDR1_DQ[7][4]/DDR3_DQ[3][4]/DDR7_DQ[1][4],I/O,-6997,-20406.1,DDR Interface,
H56,DDR1_DQ[7][3]/DDR1_DQ[7][3]/DDR3_DQ[3][3]/DDR7_DQ[1][3],I/O,-9850.4,-21745.5,DDR Interface,
K53,DDR1_DQ[7][2]/DDR1_DQ[7][2]/DDR3_DQ[3][2]/DDR7_DQ[1][2],I/O,-8780,-20869.2,DDR Interface,
P50,DDR1_DQ[7][1]/DDR1_DQ[7][1]/DDR3_DQ[3][1]/DDR7_DQ[1][1],I/O,-7496,-19182.4,DDR Interface,
P53,DDR1_DQ[7][0]/DDR1_DQ[7][0]/DDR3_DQ[3][0]/DDR7_DQ[1][0],I/O,-8780,-19293,DDR Interface,
L58,DDR1_DQ[6][7]/DDR1_DQ[6][7]/DDR3_DQ[2][7]/DDR7_DQ[0][7],I/O,-10932.4,-20556.6,DDR Interface,
K57,DDR1_DQ[6][6]/DDR1_DQ[6][6]/DDR3_DQ[2][6]/DDR7_DQ[0][6],I/O,-10421.2,-20959.3,DDR Interface,
L56,DDR1_DQ[6][5]/DDR1_DQ[6][5]/DDR3_DQ[2][5]/DDR7_DQ[0][5],I/O,-9886.2,-20419,DDR Interface,
K60,DDR1_DQ[6][4]/DDR1_DQ[6][4]/DDR3_DQ[2][4]/DDR7_DQ[0][4],I/O,-11439.8,-20963.1,DDR Interface,
P60,DDR1_DQ[6][3]/DDR1_DQ[6][3]/DDR3_DQ[2][3]/DDR7_DQ[0][3],I/O,-11439.8,-19199.1,DDR Interface,
N56,DDR1_DQ[6][2]/DDR1_DQ[6][2]/DDR3_DQ[2][2]/DDR7_DQ[0][2],I/O,-9886.2,-19743.2,DDR Interface,
P57,DDR1_DQ[6][1]/DDR1_DQ[6][1]/DDR3_DQ[2][1]/DDR7_DQ[0][1],I/O,-10421.2,-19202.9,DDR Interface,
N58,DDR1_DQ[6][0]/DDR1_DQ[6][0]/DDR3_DQ[2][0]/DDR7_DQ[0][0],I/O,-10932.4,-19605.6,DDR Interface,
AP50,DDR1_DQ[5][7]/DDR1_DQ[3][7]/DDR2_DQ[3][7]/DDR5_DQ[1][7],I/O,-7496,-11197.6,DDR Interface,
AP47,DDR1_DQ[5][6]/DDR1_DQ[3][6]/DDR2_DQ[3][6]/DDR5_DQ[1][6],I/O,-6433,-11251.5,DDR Interface,
AR48,DDR1_DQ[5][5]/DDR1_DQ[3][5]/DDR2_DQ[3][5]/DDR5_DQ[1][5],I/O,-6997,-10623.9,DDR Interface,
AP53,DDR1_DQ[5][4]/DDR1_DQ[3][4]/DDR2_DQ[3][4]/DDR5_DQ[1][4],I/O,-8780,-11087,DDR Interface,
AV53,DDR1_DQ[5][3]/DDR1_DQ[3][3]/DDR2_DQ[3][3]/DDR5_DQ[1][3],I/O,-8780,-9510.8,DDR Interface,
AU48,DDR1_DQ[5][2]/DDR1_DQ[3][2]/DDR2_DQ[3][2]/DDR5_DQ[1][2],I/O,-6997,-9973.9,DDR Interface,
AW47,DDR1_DQ[5][1]/DDR1_DQ[3][1]/DDR2_DQ[3][1]/DDR5_DQ[1][1],I/O,-6433,-9346.3,DDR Interface,
AV50,DDR1_DQ[5][0]/DDR1_DQ[3][0]/DDR2_DQ[3][0]/DDR5_DQ[1][0],I/O,-7496,-9400.2,DDR Interface,
BA50,DDR1_DQ[4][7]/DDR1_DQ[2][7]/DDR2_DQ[2][7]/DDR5_DQ[0][7],I/O,-7496,-8599.8,DDR Interface,
AY47,DDR1_DQ[4][6]/DDR1_DQ[2][6]/DDR2_DQ[2][6]/DDR5_DQ[0][6],I/O,-6433,-8653.7,DDR Interface,
BB48,DDR1_DQ[4][5]/DDR1_DQ[2][5]/DDR2_DQ[2][5]/DDR5_DQ[0][5],I/O,-6997,-8026.1,DDR Interface,
BA53,DDR1_DQ[4][4]/DDR1_DQ[2][4]/DDR2_DQ[2][4]/DDR5_DQ[0][4],I/O,-8780,-8489.2,DDR Interface,
BE53,DDR1_DQ[4][3]/DDR1_DQ[2][3]/DDR2_DQ[2][3]/DDR5_DQ[0][3],I/O,-8780,-6913,DDR Interface,
BD48,DDR1_DQ[4][2]/DDR1_DQ[2][2]/DDR2_DQ[2][2]/DDR5_DQ[0][2],I/O,-6997,-7376.1,DDR Interface,
BE47,DDR1_DQ[4][1]/DDR1_DQ[2][1]/DDR2_DQ[2][1]/DDR5_DQ[0][1],I/O,-6433,-6748.5,DDR Interface,
BE50,DDR1_DQ[4][0]/DDR1_DQ[2][0]/DDR2_DQ[2][0]/DDR5_DQ[0][0],I/O,-7496,-6802.4,DDR Interface,
BJ50,DDR1_DQ[3][7]/DDR0_DQ[7][7]/DDR1_DQ[3][7]/DDR3_DQ[1][7],I/O,-7496,-5007.6,DDR Interface,
BJ47,DDR1_DQ[3][6]/DDR0_DQ[7][6]/DDR1_DQ[3][6]/DDR3_DQ[1][6],I/O,-6433,-5061.5,DDR Interface,
BL48,DDR1_DQ[3][5]/DDR0_DQ[7][5]/DDR1_DQ[3][5]/DDR3_DQ[1][5],I/O,-6997,-4433.9,DDR Interface,
BK53,DDR1_DQ[3][4]/DDR0_DQ[7][4]/DDR1_DQ[3][4]/DDR3_DQ[1][4],I/O,-8780,-4897,DDR Interface,
BP53,DDR1_DQ[3][3]/DDR0_DQ[7][3]/DDR1_DQ[3][3]/DDR3_DQ[1][3],I/O,-8780,-3320.8,DDR Interface,
BN48,DDR1_DQ[3][2]/DDR0_DQ[7][2]/DDR1_DQ[3][2]/DDR3_DQ[1][2],I/O,-6997,-3783.9,DDR Interface,
BP47,DDR1_DQ[3][1]/DDR0_DQ[7][1]/DDR1_DQ[3][1]/DDR3_DQ[1][1],I/O,-6433,-3156.3,DDR Interface,
BP50,DDR1_DQ[3][0]/DDR0_DQ[7][0]/DDR1_DQ[3][0]/DDR3_DQ[1][0],I/O,-7496,-3210.2,DDR Interface,
BT50,DDR1_DQ[2][7]/DDR0_DQ[6][7]/DDR1_DQ[2][7]/DDR3_DQ[0][7],I/O,-7496,-2409.8,DDR Interface,
BT47,DDR1_DQ[2][6]/DDR0_DQ[6][6]/DDR1_DQ[2][6]/DDR3_DQ[0][6],I/O,-6433,-2463.7,DDR Interface,
BU48,DDR1_DQ[2][5]/DDR0_DQ[6][5]/DDR1_DQ[2][5]/DDR3_DQ[0][5],I/O,-6997,-1836.1,DDR Interface,
BT53,DDR1_DQ[2][4]/DDR0_DQ[6][4]/DDR1_DQ[2][4]/DDR3_DQ[0][4],I/O,-8780,-2299.2,DDR Interface,
BY53,DDR1_DQ[2][3]/DDR0_DQ[6][3]/DDR1_DQ[2][3]/DDR3_DQ[0][3],I/O,-8780,-723,DDR Interface,
BW48,DDR1_DQ[2][2]/DDR0_DQ[6][2]/DDR1_DQ[2][2]/DDR3_DQ[0][2],I/O,-6997,-1186.1,DDR Interface,
